,Unnamed: 0,Unnamed: 0.1,precinct_number,Phone,st_address,city,state,full_address,lat,lng,zipcode,neighborhood
25,25,25,43,718-542-0888,900 Fteley Avenue,Bronx,NY,"900 Fteley Avenue, Bronx, NY",40.6987209,-73.8315671,10473,Southeast Bronx
26,26,26,44,718-590-5511,2 East 169th Street,Bronx,NY,"2 East 169th Street, Bronx, NY",40.7070813,-73.7926447,10452,High Bridge and Morrisania
27,27,27,45,718-822-5411,2877 Barkley Avenue,Bronx,NY,"2877 Barkley Avenue, Bronx, NY",40.68217430000001,-73.8397182,10465,Southeast Bronx
28,28,28,46,718-220-5211,2120 Ryer Avenue,Bronx,NY,"2120 Ryer Avenue, Bronx, NY",40.762361,-73.8270199,10457,Central Bronx
29,29,29,47,718-920-1211,4111 Laconia Avenue,Bronx,NY,"4111 Laconia Avenue, Bronx, NY",40.722358,-73.851468,10466,Northeast Bronx
30,30,30,48,718-299-3900,450 Cross Bronx Expressway,Bronx,NY,"450 Cross Bronx Expressway, Bronx, NY",40.6798013,-73.7756864,10457,Southeast Bronx
31,31,31,49,718-918-2000,2121 Eastchester Road,Bronx,NY,"2121 Eastchester Road, Bronx, NY",,,10461,Southeast Bronx
32,32,32,50,718-543-5700,3450 Kingsbridge Avenue,Bronx,NY,"3450 Kingsbridge Avenue, Bronx, NY",,,10463,Kingsbridge and Riverdale
33,33,33,52,718-220-5811,3016 Webster Avenue,Bronx,NY,"3016 Webster Avenue, Bronx, NY",,,10467,Bronx Park and Fordham
34,34,34,60,718-946-3311,2951 West 8th Street,Brooklyn,NY,"2951 West 8th Street, Brooklyn, NY",,,11224,Southern Brooklyn
35,35,35,61,718-627-6611,2575 Coney Island Avenue,Brooklyn,NY,"2575 Coney Island Avenue, Brooklyn, NY",,,11223,Southern Brooklyn
36,36,36,62,718-236-2611,1925 Bath Avenue,Brooklyn,NY,"1925 Bath Avenue, Brooklyn, NY",,,11214,Southwest Brooklyn
37,37,37,63,718-258-4411,1844 Brooklyn Avenue,Brooklyn,NY,"1844 Brooklyn Avenue, Brooklyn, NY",,,11210,Flatbush
38,38,38,66,718-851-5611,5822 16th Avenue,Brooklyn,NY,"5822 16th Avenue, Brooklyn, NY",,,11204,Borough Park
39,39,39,67,718-287-3211,2820 Snyder Avenue,Brooklyn,NY,"2820 Snyder Avenue, Brooklyn, NY",,,11226,Flatbush
40,40,40,68,718-439-4211,333 65th Street,Brooklyn,NY,"333 65th Street, Brooklyn, NY",,,11220,Sunset Park
41,41,41,69,718-257-6211,9720 Foster Avenue,Brooklyn,NY,"9720 Foster Avenue, Brooklyn, NY",,,11236,Canarsie and Flatlands
42,42,42,70,718-851-5511,154 Lawrence Avenue,Brooklyn,NY,"154 Lawrence Avenue, Brooklyn, NY",,,11230,Borough Park
43,43,43,71,718-735-0511,421 Empire Boulevard,Brooklyn,NY,"421 Empire Boulevard, Brooklyn, NY",,,11225,Flatbush
44,44,44,72,718-965-6311,830 4th Avenue,Brooklyn,NY,"830 4th Avenue, Brooklyn, NY",,,11232,Sunset Park
45,45,45,73,718-495-5411,1470 East New York Avenue,Brooklyn,NY,"1470 East New York Avenue, Brooklyn, NY",,,11212,Central Brooklyn
46,46,46,75,718-827-3511,1000 Sutter Avenue,Brooklyn,NY,"1000 Sutter Avenue, Brooklyn, NY",,,11208,East New York and New Lots
47,47,47,76,718-834-3211,191 Union Street,Brooklyn,NY,"191 Union Street, Brooklyn, NY",,,11231,Northwest Brooklyn
48,48,48,77,718-735-0611,127 Utica Avenue,Brooklyn,NY,"127 Utica Avenue, Brooklyn, NY",,,11213,Central Brooklyn
49,49,49,78,718-636-6411,65 6th Avenue,Brooklyn,NY,"65 6th Avenue, Brooklyn, NY",,,11217,Northwest Brooklyn
50,50,50,79,718-636-6611,263 Tompkins Avenue,Brooklyn,NY,"263 Tompkins Avenue, Brooklyn, NY",,,11216,Central Brooklyn
51,51,51,81,718-574-0411,30 Ralph Avenue,Brooklyn,NY,"30 Ralph Avenue, Brooklyn, NY",,,11221,Bushwick and Williamsburg
52,52,52,83,718-574-1605,480 Knickerbocker Avenue,Brooklyn,NY,"480 Knickerbocker Avenue, Brooklyn, NY",,,11237,Bushwick and Williamsburg
53,53,53,84,718-875-6811,301 Gold Street,Brooklyn,NY,"301 Gold Street, Brooklyn, NY",,,11201,Northwest Brooklyn
54,54,54,88,718-636-6511,298 Classon Avenue,Brooklyn,NY,"298 Classon Avenue, Brooklyn, NY",,,11205,Northwest Brooklyn
55,55,55,90,718-963-5311,211 Union Avenue,Brooklyn,NY,"211 Union Avenue, Brooklyn, NY",,,11211,Greenpoint
56,56,56,94,718-383-3879,100 Meserole Avenue,Brooklyn,NY,"100 Meserole Avenue, Brooklyn, NY",,,11222,Greenpoint
57,57,57,100,718-318-4200,92-24 Rockaway Beach Boulevard,Queens,NY,"92-24 Rockaway Beach Boulevard, Queens, NY",,,11693,Rockaways
58,58,58,101,718-868-3400,16-12 Mott Avenue,Queens,NY,"16-12 Mott Avenue, Queens, NY",,,11691,Rockaways
59,59,59,102,718-805-3200,87-34 118th Street,Queens,NY,"87-34 118th Street, Queens, NY",,,11418,Southwest Queens
60,60,60,103,718-657-8181,168-02 P.O Edward Byrne Ave.,Queens,NY,"168-02 P.O Edward Byrne Ave., Queens, NY",,,11420,Southwest Queens
61,61,61,104,718-386-3004,64-2 Catalpa Avenue,Queens,NY,"64-2 Catalpa Avenue, Queens, NY",,,11385,West Central Queens
62,62,62,105,718-776-9090,92-08 222nd Street,Queens,NY,"92-08 222nd Street, Queens, NY",,,11428,Southeast Queens
63,63,63,106,718-845-2211,103-53 101st Street,Queens,NY,"103-53 101st Street, Queens, NY",,,11417,Southwest Queens
64,64,64,107,718-969-5100,71-01 Parsons Boulevard,Queens,NY,"71-01 Parsons Boulevard, Queens, NY",,,11365,Central Queens
65,65,65,108,718-784-5411,5-47 50th Avenue,Queens,NY,"5-47 50th Avenue, Queens, NY",,,11101,Northwest Queens
66,66,66,109,718-321-2250,37-05 Union Street,Queens,NY,"37-05 Union Street, Queens, NY",,,11354,North Queens
67,67,67,110,718-476-9311,94-41 43rd Avenue,Queens,NY,"94-41 43rd Avenue, Queens, NY",,,11373,West Queens
68,68,68,111,718-279-5200,45-06 215th Street,Queens,NY,"45-06 215th Street, Queens, NY",,,11361,Northeast Queens
69,69,69,112,718-520-9311,68-40 Austin Street,Queens,NY,"68-40 Austin Street, Queens, NY",,,11375,West Central Queens
70,70,70,113,718-712-7733,167-02 Baisley Boulevard,Queens,NY,"167-02 Baisley Boulevard, Queens, NY",,,11434,Jamaica
71,71,71,114,718-626-9311,34-16 Astoria Boulevard,Queens,NY,"34-16 Astoria Boulevard, Queens, NY",,,11103,Northwest Queens
72,72,72,115,718-533-2002,92-15 Northern Boulevard,Queens,NY,"92-15 Northern Boulevard, Queens, NY",,,11369,West Queens
73,73,73,120,718-876-8500,78 Richmond Terrace,Staten Island,NY,"78 Richmond Terrace, Staten Island, NY",,,10301,Stapleton and St. George
74,74,74,121,718-697-8700,970 Richmond Avenue,Staten Island,NY,"970 Richmond Avenue, Staten Island, NY",,,10314,Mid-Island
75,75,75,122,718-667-2211,2320 Hylan Boulevard,Staten Island,NY,"2320 Hylan Boulevard, Staten Island, NY",,,10306,South Shore
76,76,76,123,718-948-9311,116 Main Street,Staten Island,NY,"116 Main Street, Staten Island, NY",,,10307,South Shore
